MCU                             Opt     Arch         Freq/MHz    Time/ms     DMIPS      DMIPS/MHz
AMD R5-3600X                    O3      X86-64               4350      0.023      24323          5.59
AMD R5-3600X                    Os      X86-64               4350      0.050      11383          2.62
GD32H737VMT6                    O3      Cortex-M7            1000      0.249       2286          2.29
BCM2835(RPi Zero)               O3      ARM11                 800      0.329       1730          2.16
STM32H750VBT6                   O3      Cortex-M7             480      0.403       1412          2.94
GD32H737VMT6                    O3      Cortex-M7             600      0.415       1371          2.29
GD32H737VMT6                    Os      Cortex-M7            1000      0.420       1355          1.36
STM32H750VBT6                   Os      Cortex-M7             480      0.610        933          1.94
BCM2835(RPi Zero)               Os      ARM11                 800      0.683        833          1.04
GD32H737VMT6                    Os      Cortex-M7             600      0.701        812          1.35
GD32F450ZET6(oc)                O3      Cortex-M4             400      1.080        527          1.32
AT32F435CMT7(oc)                O3      Cortex-M4             368      1.150        495          1.34
GD32F470VIT6(oc)                O3      Cortex-M4             360      1.210        470          1.31
GD32W515PIQ6(oc)                O3      Cortex-M33            320      1.232        462          1.44
GD32E503CET6(oc)                O3      Cortex-M33            272      1.400        407          1.49
GD32VF103CBT6(oc)               O3      RISC-V                192      1.490        382          1.99
AT32F435CMT7                    O3      Cortex-M4             288      1.540        370          1.28
GD32EPRTVDT6(oc)                O3      Cortex-M33            240      1.590        358          1.49
AT32F403ACGT7(oc)               O3      Cortex-M4             288      1.710        333          1.16
GD32FFPRTGU6(oc)                O3      Cortex-M4             280      1.760        323          1.15
GD32F350CBT6(oc)                O3      Cortex-M4             280      1.800        316          1.13
GD32F470VIT6                    O3      Cortex-M4             240      1.814        314          1.31
CH32V305RB(oc)                  O3      RISC-V                208      1.850        308          1.48
AT32F403ACGT7                   O3      Cortex-M4             240      2.060        276          1.15
AT32F435CMT7(oc)                Os      Cortex-M4             368      2.070        275          0.75
N32G455REL7(oc)                 O3      Cortex-M4             256      2.120        268          1.05
GD32E503CET6                    O3      Cortex-M33            176      2.150        265          1.50
GD32F450ZET6                    O3      Cortex-M4             200      2.160        263          1.32
GD32W515PIQ6                    O3      Cortex-M33            180      2.188        260          1.45
STM32F407VET6                   O3      Cortex-M4             168      2.590        220          1.31
GD32VF103CBT6                   O3      RISC-V                108      2.660        214          1.98
CH32V305RB                      O3      RISC-V                144      2.690        212          1.47
AT32F435CMT7                    Os      Cortex-M4             288      2.790        204          0.71
GD32F103RCT6(oc)                O3      Cortex-M3             192      2.820        202          1.05
GD32FFPRTGU6                    O3      Cortex-M4             168      2.930        194          1.16
GD32F470VIT6                    Os      Cortex-M4             240      3.080        185          0.77
N32G455REL7                     O3      Cortex-M4             144      3.740        152          1.06
GD32E103CBT6                    O3      Cortex-M4             120      3.770        151          1.26
GD32W515PIQ6                    Os      Cortex-M33            180      3.827        149          0.83
GD32E503CET6                    Os      Cortex-M33            176      4.190        136          0.77
STM32L431CCT6(oc)               O3      Cortex-M4             136      4.400        129          0.95
GD32F103RCT6(oc)                Os      Cortex-M3             192      4.430        128          0.67
GD32F350CBT6                    O3      Cortex-M4             108      4.570        125          1.15
STM32F303CCT6(oc)               O3      Cortex-M4             128      4.710        121          0.94
STM32F407VET6                   Os      Cortex-M4             168      4.840        118          0.70
CH32V305RB(oc)                  Os      RISC-V                192      5.020        113          0.59
